Group,Kind,Set,Value
10,Loss,Train,0.32656408791417557
10,RMSE,Train,0.57145786
10,Loss,Dev,0.3075506617186137
10,RMSE,Dev,0.55457246
10,Loss,Train,0.3262058537603166
10,RMSE,Train,0.57114434
10,Loss,Dev,0.30730253005875396
10,RMSE,Dev,0.55434877
10,Loss,Train,0.3286655109871289
10,RMSE,Train,0.57329357
10,Loss,Dev,0.30823494870340395
10,RMSE,Dev,0.55518913
10,Loss,Train,0.32779573665532735
10,RMSE,Train,0.57253444
10,Loss,Dev,0.3048290698525333
10,RMSE,Dev,0.5521133
10,Loss,Train,0.33133585428084966
10,RMSE,Train,0.5756178
10,Loss,Dev,0.3036253356697048
10,RMSE,Dev,0.55102205
10,Loss,Train,0.34349319372145504
10,RMSE,Train,0.5860829
10,Loss,Dev,0.31288485845636366
10,RMSE,Dev,0.5593611
10,Loss,Train,0.3371361557176584
10,RMSE,Train,0.5806343
10,Loss,Dev,0.30778152218728383
10,RMSE,Dev,0.5547806
10,Loss,Train,0.33710984037814673
10,RMSE,Train,0.5806116
10,Loss,Dev,0.3081731066421913
10,RMSE,Dev,0.5551334
10,Loss,Train,0.3344444700953282
10,RMSE,Train,0.57831174
10,Loss,Dev,0.31322316043679505
10,RMSE,Dev,0.5596634
10,Loss,Train,0.3333695797667284
10,RMSE,Train,0.5773817
10,Loss,Dev,0.3029287228928267
10,RMSE,Dev,0.5503896
